Provider ID|Hospital overall rating|Hospital overall rating footnote|Mortality national comparison|Mortality national comparison footnote|Safety of care national comparison|Safety of care national comparison footnote|Readmission national comparison|Readmission national comparison footnote|Patient experience national comparison|Patient experience national comparison footnote|Effectiveness of care national comparison|Effectiveness of care national comparison footnote|Timeliness of care national comparison|Timeliness of care national comparison footnote|Efficient use of medical imaging national comparison|Efficient use of medical imaging national comparison footnote
11302|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
51311|2||Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average|
60034|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average|
100161|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
51331|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
40118|3||Same as the national average||Above the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Below the national average|
20026|2|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Below the national average||Same as the national average||Below the national average||Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
31315|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average|
100189|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
50082|2||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50238|5||Above the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
50022|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50180|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
110025|3||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
40015|3||Below the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
110036|2||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
40078|2||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
90011|2||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Above the national average|
50245|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
10036|3||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
50689|3||Same as the national average||Same as the national average||Above the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
50710|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
110042|3||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Below the national average||Same as the national average|
110111|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
50006|3||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
50112|4||Above the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
51302|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
100025|3||Below the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
30016|2||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Below the national average|
10045|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
30030|2||Same as the national average||Above the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
10125|5||Above the national average||Not Available|Results are not available for this reporting period|Above the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
50751|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
50225|3||Same as the national average||Same as the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
30089|3||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
100067|2||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
60126|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Above the national average||Not Available|Results are not available for this reporting period
50740|4||Same as the national average||Same as the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
100238|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
60116|3||Same as the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
50072|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
100092|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Below the national average|
50136|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
50590|2||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
50152|3||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
50516|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
110161|4||Same as the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
10044|5||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
61311|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
30013|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
40132|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
10097|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
50496|4||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
10114|3||Same as the national average||Same as the national average||Above the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
100287|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50390|1||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
30121|1||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
30043|1||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50359|1||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Same as the national average|
100319|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
60065|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
100007|2||Above the national average||Below the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Above the national average|
61324|4||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average|
100299|3||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
50133|1||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
50744|2||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
61305|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
50043|3||Above the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50454|3||Above the national average||Above the national average||Below the national average||Above the national average||Above the national average||Below the national average||Below the national average|
50506|3||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
50093|2||Below the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
50135|3||Above the national average||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Not Available|Results are not available for this reporting period
51301|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
90006|1||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Same as the national average|
50089|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
31313|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
41319|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
100191|3||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
10089|3||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
50291|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
70008|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
110040|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
100109|3||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
41307|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
100022|1||Same as the national average||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Above the national average|
40004|3||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
110100|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
50394|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Below the national average|
30022|2||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
61300|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
50709|2||Above the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
50517|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
100167|3||Above the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
100281|3||Same as the national average||Below the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Same as the national average|
10016|3||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
40002|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
60044|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
10099|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Below the national average|
50758|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
10087|3||Same as the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Below the national average|
90004|1||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
100265|4||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Below the national average||Below the national average|
50764|4||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
110124|3||Same as the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Above the national average||Below the national average|
100122|3||Same as the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
110035|3||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
50174|4||Below the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
90005|3||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
60003|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
20006|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
100175|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
100156|3||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
30122|3||Same as the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
100017|2||Below the national average||Same as the national average||Same as the national average||Below the national average||Below the national average||Below the national average||Above the national average|
10055|4||Below the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
110005|3||Below the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
100290|3||Same as the national average||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Above the national average|
50767|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
60112|4||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
10051|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
40010|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average|
110109|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
50295|2||Below the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
101304|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
100154|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
70031|2||Below the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Same as the national average|
50727|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
100168|2||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Above the national average|
100177|4||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
50771|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
40011|3||Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
10069|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
100034|3||Above the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Below the national average|
60114|3||Same as the national average||Below the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
50690|3|This hospitals star rating only includes data reported on inpatient services|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Above the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
50189|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
10033|3||Same as the national average||Above the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Below the national average|
50248|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
41322|2|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
100220|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
60096|4||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
100200|3||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
50573|4||Above the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
20012|3||Same as the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
40001|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
110016|4||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
110101|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
100073|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
10109|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
10164|3||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
50746|1||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
50747|2||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
50096|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
60107|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average|
30078|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
53304|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
60023|3||Same as the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
50192|2||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
100047|2||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
30093|4||Same as the national average||Above the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
41300|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
100099|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
